Dataset,Samples,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,AVG,STD
dataset_1494.csv,1055,0.8692093441,0.8738544474,0.8777358491,0.8701168014,0.8730278527,0.8720125786,0.871114106,0.8654806828,0.8729469901,0.8719946092,0.871749,0.003202
dataset_1497.csv,5456,0.9950519206,0.9943193198,0.9935853749,0.9946849481,0.9948677622,0.9948684343,0.9948684343,0.9944994455,0.994866754,0.9943196559,0.994593,0.000434
dataset_1501.csv,1593,0.9466509434,0.9453970126,0.9428577044,0.9466273585,0.9453852201,0.9454009434,0.9466470126,0.940990566,0.9428694969,0.9479127358,0.945074,0.002165
dataset_1480.csv,583,0.69628872,0.698012858,0.720251315,0.7119812975,0.7067212157,0.6929573349,0.6996785506,0.7155172414,0.689421391,0.7171244886,0.704795,0.010966
dataset_1485.csv,2600,0.7365384615,0.7353846154,0.7326923077,0.7407692308,0.7330769231,0.735,0.7380769231,0.7330769231,0.7303846154,0.7353846154,0.735038,0.002971
dataset_1486.csv,34465,0.9701146,0.9706079845,0.970085404,0.9708399946,0.9708399778,0.9700564943,0.9702016827,0.9703759744,0.9702308365,0.9704338275,0.970379,0.000297
dataset_1487.csv,2534,0.943563848,0.942387414,0.9435716286,0.9431701472,0.9439653294,0.9415875634,0.9423780772,0.9435654041,0.9431732595,0.9431732595,0.943054,0.000724
dataset_1468.csv,1080,0.9240740741,0.9296296296,0.9305555556,0.9305555556,0.9277777778,0.9296296296,0.9231481481,0.9287037037,0.925,0.9305555556,0.927963,0.002856
dataset_1475.csv,6118,0.6327273408,0.6309246066,0.6364855107,0.6319092776,0.6319074056,0.6332153975,0.6351732401,0.6323917183,0.6346899971,0.6348477798,0.633427,0.001779
dataset_1462.csv,1372,0.9934465249,0.9941658733,0.9941711626,0.9934518142,0.9941658733,0.9941658733,0.9934306569,0.9934412356,0.9934359463,0.9927113086,0.993659,0.000491
dataset_1464.csv,748,0.7461081081,0.742036036,0.7407387387,0.7353153153,0.7313693694,0.742018018,0.7393153153,0.7367207207,0.742018018,0.7406306306,0.739627,0.004174
dataset_4534.csv,11055,0.9731339547,0.9719587933,0.9726826115,0.9727731092,0.9739486798,0.9734064298,0.9727727819,0.9732253525,0.9728640161,0.9734960274,0.973026,0.000546
dataset_1461.csv,45211,0.9061732065,0.9068810146,0.9059741551,0.9054876545,0.906305989,0.9068811417,0.9068590521,0.9059963719,0.906217425,0.906128993,0.906291,0.000459
dataset_4538.csv,9873,0.6879343408,0.6823646678,0.6823664111,0.6862140006,0.6870260758,0.6850035276,0.683072452,0.6851023836,0.6862151287,0.686314805,0.685161,0.001965
dataset_1478.csv,10299,0.9813576193,0.9811634446,0.9809686094,0.981163822,0.9814538575,0.9802889977,0.9809680433,0.9811635389,0.980871805,0.9806777246,0.981008,0.000340
dataset_40966.csv,1080,0.9981481481,0.9981481481,0.9981481481,0.9953703704,0.9944444444,0.9953703704,0.9981481481,0.9990740741,0.9990740741,0.9981481481,0.997407,0.001679
dataset_40982.csv,1941,0.7913402062,0.7795083267,0.7892862807,0.7898176051,0.7841422152,0.7825773196,0.7846338884,0.7867221782,0.792371134,0.7851678562,0.786557,0.004107
dataset_40994.csv,540,0.9240740741,0.9240740741,0.9222222222,0.9222222222,0.9259259259,0.9222222222,0.9240740741,0.9222222222,0.9259259259,0.9222222222,0.923519,0.001525
dataset_40983.csv,4839,0.9828461065,0.9834693633,0.9838817309,0.9832610407,0.9830535736,0.9830548569,0.9826407782,0.9834663689,0.9830548569,0.983262324,0.983199,0.000352
dataset_40975.csv,1728,0.9838015862,0.9866850383,0.9849475736,0.9849542949,0.9843628176,0.9866850383,0.9861103643,0.9820641215,0.9843863423,0.9837915042,0.984779,0.001442
dataset_40984.csv,2310,0.9393939394,0.9376623377,0.9402597403,0.9380952381,0.941991342,0.9393939394,0.9372294372,0.9424242424,0.9411255411,0.9376623377,0.939524,0.001882
dataset_40979.csv,2000,0.9795,0.979,0.9785,0.9785,0.978,0.9785,0.9785,0.977,0.9785,0.98,0.978600,0.000810
dataset_41027.csv,44819,0.7835068559,0.78319458,0.7832392378,0.7831721241,0.7832839802,0.7830160683,0.7826144918,0.782949114,0.7832615044,0.7834847934,0.783172,0.000263
dataset_40978.csv,3279,0.9771266876,0.9795675766,0.9789568882,0.9795666443,0.9795657119,0.9804794137,0.9789596852,0.9795675766,0.9798743194,0.9804831431,0.979415,0.000956
dataset_40670.csv,3186,0.9582529919,0.9582608781,0.9604463634,0.9585625283,0.9573174819,0.9585684431,0.9582500345,0.9579365549,0.9591944165,0.9598233473,0.958661,0.000923
dataset_40701.csv,5000,0.9602,0.957,0.9572,0.9594,0.9582,0.9576,0.9576,0.9588,0.9578,0.958,0.958180,0.001009
