Dataset,Samples,Avg Accuracy,Std Accuracy,Avg AUC,Std AUC,Avg Train Time
dataset_3.csv,3196,0.9953056426332288,0.00402215409565526,0.999540268500015,0.0007915122391201854,3.2209433168929538
dataset_11.csv,625,0.8897849462365592,0.042776844577226504,0.9574389994132174,0.023162326206227584,5.704564030200709
dataset_12.csv,2000,0.9695,0.00820060973342837,0.9988833333333333,0.0010319584640889473,4.440904344897717
dataset_14.csv,2000,0.8504999999999999,0.020548722588034536,0.9829583333333336,0.004511221434064267,6.293563597599859
dataset_15.csv,699,0.9599585921325053,0.023713588342617515,0.9894032206119162,0.011720248935268825,1.0378371771017556
dataset_16.csv,2000,0.9655000000000001,0.010356157588604,0.9987666666666666,0.0009130568654285528,4.59860764729965
dataset_18.csv,2000,0.68,0.03514256678161115,0.9488,0.007807658870432109,13.832915957202204
dataset_22.csv,2000,0.7835000000000001,0.018714967272212918,0.9573194444444445,0.005538853365538625,8.02768153489742
dataset_23.csv,1473,0.5139179996322853,0.03270713970272186,0.6831092430880175,0.02257237984684218,6.437070252496051
dataset_28.csv,5620,0.9850533807829182,0.0044448384330237805,0.9997430071890708,0.0001254253731378624,6.808358703902923
dataset_31.csv,1000,0.754,0.04862098312457287,0.7772380952380952,0.052090014537456895,2.8066010520997224
dataset_32.csv,10992,0.9933585077343041,0.0025107002057090347,0.9997485034862775,0.0003395856107504398,8.714242846902925
dataset_37.csv,768,0.7291866028708134,0.06923346586359277,0.7720797720797721,0.06469838451428638,2.0764748925081222
dataset_44.csv,4601,0.9571838159011602,0.0077161183702873955,0.9886966945682547,0.0035779756449089064,4.958769774693065
dataset_46.csv,3190,0.9592476489028213,0.006110842849410023,0.9944379815924865,0.002462758216793015,5.158423435795703
dataset_50.csv,958,1.0,0.0,1.0,0.0,1.7439821397914783
dataset_54.csv,846,0.7837114845938375,0.03491201111079219,0.9330872126718541,0.012290829341451998,4.14882351810229
dataset_151.csv,45312,0.9318281260622372,0.0037043944939409252,0.9819438716741891,0.002584509690262901,5.061871921297279
dataset_182.csv,6430,0.9225505443234836,0.007580751232941777,0.9910035707569506,0.0023142111910892833,10.64005982700328
dataset_188.csv,736,0.6725472047389855,0.06319890472115886,0.901187028751863,0.03023360245423391,5.545938119900529
dataset_458.csv,841,0.98812324929972,0.01301568881846176,0.999851842181382,0.00030840508279072175,1.7546137336932588
dataset_469.csv,797,0.19830696202531647,0.03297804305756218,0.5457127149379853,0.03292277376396806,11.819799525800045
dataset_1049.csv,1458,0.9142607463391592,0.01601805301086929,0.9508169934640524,0.02194283755037082,2.1241369514988038
dataset_1050.csv,1563,0.8944267515923567,0.013261974067326106,0.8013801291793312,0.062320167966574316,2.9202952753956195
dataset_1053.csv,10885,0.810474649570572,0.008202211078345184,0.7106485604807251,0.02305569483996662,4.800047162902774
dataset_1063.csv,522,0.8429245283018867,0.040989071046617934,0.7420826734241368,0.07673947030616161,2.054113899107324
dataset_1067.csv,2109,0.8591762581809975,0.022225610018368494,0.7608115662858577,0.03550136269118993,2.8151858618977714
dataset_1068.csv,1109,0.9341605241605242,0.022138016329290754,0.8464645791102102,0.08196655006292392,1.827160429293872
dataset_4134.csv,3751,0.8005737588652483,0.022135220668985555,0.8777728637776809,0.016711561547961457,11.21995745509921
dataset_1510.csv,569,0.9683897243107769,0.025767215338689357,0.9918449804164089,0.010554593420163037,0.8631969855021453
dataset_1489.csv,5404,0.9059967823646197,0.012306719980348936,0.9608319821034765,0.007712270521354543,3.3641071720980107
dataset_1494.csv,1055,0.8730458221024259,0.025121493031869894,0.9313540044036939,0.023558403808790655,2.4490600412071215
dataset_1497.csv,5456,0.9970675807373055,0.0030865826830883,0.9999857009324055,1.753782232707553e-05,3.2054825514991534
dataset_1501.csv,1593,0.9372209119496855,0.021793187719033727,0.9970450877325249,0.0022829280182689315,8.67590702160087
dataset_1480.csv,583,0.7117475160724722,0.05358313876869017,0.7410677990708479,0.05789300011016723,2.044601344296825
dataset_1485.csv,2600,0.8150000000000001,0.010803516850144704,0.8893076923076922,0.017087217595234114,6.5971475775004365
dataset_1486.csv,34465,0.9766139388578999,0.0022331648342706137,0.9965360255943944,0.0008751845037008559,9.567263713190915
dataset_1487.csv,2534,0.9483022626124302,0.008369485883251856,0.9181981970003191,0.028433154553897787,2.287935527393711
dataset_1468.csv,1080,0.8398148148148147,0.025542804118766138,0.9814043209876543,0.005384812999419204,10.395650305598974
dataset_1475.csv,6118,0.6255340543200367,0.019393601417265316,0.8446620802759213,0.01447120502644936,23.664758434699614
dataset_1462.csv,1372,0.994895800275045,0.006567598889663867,0.999849287899331,0.0003206104136473012,1.0463972332072444
dataset_1464.csv,748,0.7367207207207207,0.04375758679449491,0.6737128769636509,0.06872015052121923,2.74154157450248
dataset_4534.csv,11055,0.9741304116583341,0.005272583147150803,0.9972036517654723,0.0006155970348787949,5.702456458500819
dataset_1461.csv,45211,0.9055759690807488,0.003488096934249857,0.9271666662935842,0.0040280812752474865,5.404335300097591
dataset_4538.csv,9873,0.7089030883263806,0.009163491653148252,0.9114949684966337,0.00671508627840679,21.972350052100957
dataset_1478.csv,10299,0.9942709954994481,0.0017081391342405308,0.9999487216583752,3.981883543039439e-05,13.388218270902872
dataset_40966.csv,1080,0.9944444444444445,0.008486251286955267,0.9999630818925602,0.00011075432231919536,3.933476008696016
dataset_40982.csv,1941,0.8052471583399419,0.03437159329249805,0.9667013166182683,0.010534741095496045,8.483840140103712
dataset_40994.csv,540,0.9407407407407409,0.024567591039669635,0.9349897959183673,0.059383449770304186,0.9300211609981488
