Dataset,Samples,Avg RMSE,Std RMSE,Avg MAE,Std MAE,Avg R2,Std R2,Avg Train Time
dataset_44956.csv,4177,2.0633389885863314,0.13369474396137282,1.4223965406417847,0.07803431451133752,0.5855979919433594,0.026598128211891038,0.5112273275852204
dataset_44957.csv,1503,0.9282002283345543,0.0962400612688776,0.5917785676557865,0.047334172428421695,0.9816343754196313,0.003435372430939585,0.21166089349426329
dataset_44958.csv,2043,754.8159123367475,126.27885092081416,316.3599129377611,61.32620223585844,0.9945853868750341,0.0010537331147352051,0.38125577704049646
dataset_44959.csv,1030,3.8443415293700527,0.8506201522255032,2.2845069120186,0.3184628221235811,0.9434150091197564,0.02637003700468389,0.2792017327155918
dataset_44963.csv,45730,3.2142598000874103,0.04346180271858207,2.0394544430433776,0.021181978940444653,0.72373272159479,0.009186287148119074,8.859832754964009
dataset_44964.csv,21263,9.139194505220445,0.3220706364329993,5.048440791313213,0.0724730904474693,0.928564630624815,0.005802190454402132,59.1998168727383
dataset_44965.csv,1059,14.299758429221887,1.3467050386745267,9.5853422041022,1.0157107454993017,0.3811310314418768,0.09820924808378904,1.7942880372051149
dataset_44969.csv,11934,0.00014640018614349836,5.762035148967656e-06,0.0001093383424033048,2.8101200668973104e-06,0.9999008808119563,7.357525446615853e-06,1.3040042613167315
dataset_44973.csv,10000,0.005749099857266059,0.0002471219711754817,0.003765063752112242,0.0001438304574541852,0.9756914567698628,0.0018416820188077486,0.8836649857461453
dataset_44976.csv,48933,2.3307984907922625,0.10769623714219569,1.3517187926800514,0.02969401528624964,0.9870030489225157,0.000924640812253198,18.031489420495927
dataset_44977.csv,20640,41300.297391229964,1674.564167682496,25183.08280530826,695.3695524032745,0.8717178811322566,0.00889166303819663,6.3174677433911715
dataset_44978.csv,8192,2.6376488250361665,0.1368834457936902,1.7157603740692138,0.06464004241474852,0.9789514124393464,0.002220761364164976,1.1196054802276194
dataset_44979.csv,53940,515.4514055574283,13.070769690196085,256.136914753304,4.960461053787612,0.9832863207383851,0.0006809322914490332,8.766782762669028
dataset_44980.csv,8192,0.06855006244295246,0.003648997470511519,0.05347479799684818,0.0028016662507598543,0.9321096972872234,0.006943414631587176,0.6709259395487607
dataset_44981.csv,8192,0.020964874176035115,0.000730306851717458,0.0166669430846367,0.0006002175216288328,0.6591677713283549,0.021910812692057316,2.1283406145405026
dataset_44983.csv,13932,84861.43948099087,6783.112613808872,38454.62562115555,1857.7160380033351,0.928191109886999,0.005590322560050867,10.475933175859973
dataset_44984.csv,28155,377.6112670985236,60.787841066119576,221.02506782362667,6.903238018729785,0.302606581938848,0.06247109518464168,6.183188763726503
dataset_44987.csv,1156,14.009106487632133,6.64342471429679,4.677022855657211,1.0905989107833123,0.8758839799586386,0.08753399341783481,0.29020244497805836
dataset_44989.csv,21613,116704.49387067063,15865.22305907162,58179.42662307224,2274.726760336209,0.8985406436743121,0.015586001295886269,14.810617211461068
dataset_44990.csv,10692,7036.561409838272,8913.991031472862,1542.3800353426175,390.455645798988,0.6941425444758859,0.10156408864996444,0.6473523664288223
dataset_44992.csv,24624,1.9286185407262195,0.22859568016030896,0.8017222470991617,0.033140913106029575,0.9987353954960783,0.00029377766932090307,21.49321724246256
dataset_44993.csv,22272,14.430425149325737,0.29688855633557437,11.069424152374268,0.2681357392210538,0.40466849207878114,0.022629454515480096,5.320464430237189
dataset_45012.csv,19178,10504.032124819321,968.2899422434474,3858.7051498484916,207.66213627703885,0.7075655537405092,0.023789791183478234,21.079726698622107
dataset_41021.csv,1232,20.84751485960998,1.5477021647723255,16.469291305541994,1.1921318195770982,0.9471591949462891,0.007880086819363022,0.4026501763612032
dataset_44960.csv,768,0.40542652446215655,0.044585693349982636,0.2745364163823757,0.029629576815190264,0.9983455195805568,0.0003333732121434705,0.24833319187164307
dataset_44962.csv,517,45.93989414677658,44.37334598571141,14.968475613645836,7.526554156949451,-0.03561390741629655,0.03877240202754827,0.3037496462929994
dataset_44967.csv,649,2.6732243260468413,0.4192787526807482,1.9663172245025635,0.1694002285614904,0.2738488852977753,0.13521075342286842,0.3595973487943411
dataset_44970.csv,908,0.8519648554699346,0.09912896689181339,0.5959692514732091,0.05342500812369567,0.6453874936866575,0.09538914590896407,0.33850238341838124
dataset_44994.csv,804,2015.1671971627275,224.88735717593667,1372.7920356210213,156.33970646760736,0.9544623881624148,0.018867673982095424,0.24212702154181898
dataset_45402.csv,3107,0.09201432199651369,0.01571112867306353,0.06452602850654329,0.003152468677948908,0.7811145681265692,0.048909445802611154,0.30655728094279766
