Dataset,Samples,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,Avg Accuracy,AVG,STD
dataset_1494.csv,1055,0.8644294699,0.8606019766,0.8740251572,0.8643845463,0.8711500449,0.8720305481,0.8786702606,0.8607367475,0.8615902965,0.8644474394,0.86721,0.00630
dataset_1497.csv,5456,0.9970679168,0.9963332997,0.997251067,0.9968837584,0.9970679168,0.9968834224,0.9972503949,0.9972497228,0.9972520751,0.9972500588,0.99705,0.00029
dataset_1501.csv,1593,0.9284591195,0.9271933962,0.9271619497,0.9240487421,0.9309237421,0.9309827044,0.922802673,0.9252790881,0.9221540881,0.9284630503,0.92675,0.00312
dataset_1480.csv,583,0.7135300994,0.6998246639,0.713559322,0.6915838691,0.7049970777,0.7153419053,0.7067504383,0.701811806,0.6979251899,0.7189070719,0.70642,0.00880
dataset_1485.csv,2600,0.8192307692,0.8211538462,0.8288461538,0.8138461538,0.8253846154,0.8196153846,0.8188461538,0.8257692308,0.8180769231,0.8126923077,0.82035,0.00514
dataset_1486.csv,34465,0.9750473171,0.9748730675,0.9753083127,0.9758596093,0.9753373066,0.9752500976,0.9753083127,0.9752503502,0.9753664184,0.9750472582,0.97526,0.00026
dataset_1487.csv,2534,0.9439699978,0.9443636986,0.9463290903,0.945941614,0.9451402073,0.9459307211,0.9451433195,0.9451324266,0.9483053749,0.9463430955,0.94566,0.00122
dataset_1468.csv,1080,0.9055555556,0.9092592593,0.9166666667,0.912962963,0.9175925926,0.9101851852,0.9101851852,0.9111111111,0.9064814815,0.9055555556,0.91056,0.00424
dataset_1475.csv,6118,0.6242271322,0.6268393719,0.6306015532,0.6266794497,0.6194858958,0.6273311725,0.6258605843,0.6230750511,0.6263494432,0.6274924318,0.62579,0.00298
dataset_1462.csv,1372,0.9963609436,0.9963556543,0.9949010896,0.9956310166,0.9941605839,0.997810219,0.997080292,0.9941711626,0.9927060193,0.9949010896,0.99541,0.00154
dataset_1464.csv,748,0.7420720721,0.7366666667,0.7461081081,0.7392612613,0.7312972973,0.7272972973,0.7447387387,0.7567387387,0.7527387387,0.7352972973,0.74122,0.00920
dataset_4534.csv,11055,0.9737671115,0.9736767774,0.9739494162,0.9733158502,0.9736771866,0.974039423,0.9746726617,0.9739479433,0.974582573,0.9746720889,0.97403,0.00047
dataset_1461.csv,45211,0.9049345866,0.9057530678,0.9055759544,0.9059520997,0.9050453185,0.9063060086,0.9068811026,0.9060626898,0.9056201777,0.9060847159,0.90582,0.00058
dataset_4538.csv,9873,0.7107244379,0.7065724869,0.7035366649,0.7066756498,0.7059642765,0.705259056,0.7057636932,0.7105279566,0.7088009508,0.7080914233,0.70719,0.00232
dataset_1478.csv,10299,0.9931057583,0.9922323493,0.9917464406,0.9928147792,0.992523234,0.9924257692,0.9924264297,0.9927175974,0.9919408984,0.9921350732,0.99241,0.00041
dataset_40966.csv,1080,0.9888888889,0.9851851852,0.9861111111,0.9824074074,0.9861111111,0.9861111111,0.9833333333,0.987037037,0.9842592593,0.9861111111,0.98556,0.00186
dataset_40982.csv,1941,0.8026751256,0.8001348136,0.8067856199,0.8057626223,0.8047343378,0.7990774518,0.8036928364,0.8078165477,0.801136664,0.8021649485,0.80340,0.00289
dataset_40994.csv,540,0.95,0.9555555556,0.95,0.9518518519,0.9555555556,0.9481481481,0.9481481481,0.95,0.9537037037,0.9444444444,0.95074,0.00351
dataset_40983.csv,4839,0.9869809045,0.9853280119,0.9857403795,0.9849152165,0.9855333402,0.985741235,0.986360642,0.9855320569,0.9863610698,0.984914361,0.98574,0.00066
dataset_40975.csv,1728,0.9942162925,0.9971031053,0.9947842452,0.9936281758,0.9947842452,0.9947842452,0.9965317919,0.9907413631,0.9953757225,0.9918907111,0.99438,0.00193
dataset_40984.csv,2310,0.9376623377,0.9367965368,0.938961039,0.9376623377,0.9376623377,0.9398268398,0.9354978355,0.9363636364,0.938961039,0.9372294372,0.93766,0.00131
dataset_40979.csv,2000,0.9675,0.9685,0.9665,0.9665,0.964,0.966,0.966,0.969,0.964,0.9665,0.96645,0.00164
dataset_41027.csv,44819,0.8686493301,0.867132225,0.8668644973,0.867556123,0.8669537333,0.8671991644,0.8663065862,0.8672882708,0.8678908348,0.8672437425,0.86731,0.00063
dataset_40978.csv,3279,0.9737711643,0.9749906765,0.9759071754,0.9765169315,0.9771248229,0.976208324,0.9759081077,0.9762120534,0.9780459834,0.975604162,0.97603,0.00115
dataset_40670.csv,3186,0.9667287711,0.966724828,0.9654689379,0.966408391,0.9667327143,0.9661047692,0.9667267996,0.9642130479,0.9673537588,0.9645363853,0.96610,0.00104
dataset_40701.csv,5000,0.9578,0.9558,0.958,0.9568,0.9592,0.957,0.9572,0.9576,0.9584,0.9588,0.95766,0.00101
