Dataset,Samples,Avg Accuracy,Std Accuracy,Avg AUC,Std AUC,Avg Train Time
dataset_3.csv,3196,0.9937431426332288,0.004635794923726599,0.9995297827387238,0.0006693472177890201,0.16611255950992926
dataset_11.csv,625,0.9743983614951357,0.024052190957173356,0.9978836620717692,0.0028116867529914243,0.09604326059343293
dataset_12.csv,2000,0.9800000000000001,0.010488088481701524,0.9996222222222222,0.0003249406403531046,0.6423402199987323
dataset_14.csv,2000,0.8854999999999998,0.01752854814295812,0.9914638888888889,0.0018610302635840006,0.23479515730869024
dataset_15.csv,699,0.9656521739130435,0.01940643446643138,0.9958212560386475,0.0026990524500246998,0.09199239689623936
dataset_16.csv,2000,0.9804999999999999,0.009604686356149281,0.9995750000000001,0.0003105774192264014,0.20591412669746206
dataset_18.csv,2000,0.758,0.016911534525287777,0.9701194444444443,0.003429201262144948,0.0906305292970501
dataset_22.csv,2000,0.8835000000000001,0.020982135258357307,0.9891222222222222,0.002174636339684547,0.16222025989554822
dataset_23.csv,1473,0.5566556352270637,0.021208992597640596,0.7541993623959995,0.02024982432955086,0.08820717460475862
dataset_28.csv,5620,0.9870106761565836,0.00611488977844826,0.9998157361666259,0.00017610371017123848,0.32619235781021416
dataset_31.csv,1000,0.7570000000000001,0.040509258201058204,0.7889047619047619,0.0530614028428888,0.11843567446339875
dataset_32.csv,10992,0.9967250392919181,0.0011647090687598026,0.9998802520235964,0.00019983522075425753,0.27111532038543373
dataset_37.csv,768,0.7630041011619959,0.03386602532126347,0.8417920227920227,0.03843889266841736,0.08693153988569975
dataset_44.csv,4601,0.9602263510327267,0.008018286877599375,0.9902195580947429,0.0037905706345049803,0.3208043167251162
dataset_46.csv,3190,0.9699059561128525,0.011320043940606756,0.9956623748011861,0.00179244895178457,0.30373824439011515
dataset_50.csv,958,0.9853947368421053,0.010614442865880045,0.9997097340076468,0.000387603730846001,0.0897117514978163
dataset_54.csv,846,0.8581792717086835,0.028806102208610584,0.9728488310264843,0.010885565062176944,0.09505902810487896
dataset_151.csv,45312,0.8762579614825631,0.004001370745695385,0.9532445100401103,0.0029049633177830004,3.01408009553561
dataset_182.csv,6430,0.9321928460342146,0.011642281351298842,0.9944698449929472,0.0014583084332226986,0.3052127578994259
dataset_188.csv,736,0.7296001480932988,0.027590581685838875,0.9316826670639387,0.016922245585507676,0.10255271728383378
dataset_458.csv,841,1.0,0.0,1.0,0.0,0.16714813128346578
dataset_469.csv,797,0.20947784810126585,0.03340560125549528,0.5924234087130389,0.027286120267723618,0.12292246730066836
dataset_1049.csv,1458,0.9231979215871517,0.018035218030262586,0.9622446895424837,0.011438927413620655,0.15618930109776558
dataset_1050.csv,1563,0.8957128858402743,0.008622558855671153,0.8507342325227963,0.04367742879751709,0.15133213852532207
dataset_1053.csv,10885,0.8139644270242533,0.005320072621534549,0.7306469786523007,0.010914874153493771,0.5713731682859361
dataset_1063.csv,522,0.8429608127721335,0.049788005274699516,0.8456768028719248,0.05132912433669964,0.1263230548123829
dataset_1067.csv,2109,0.8667546829158204,0.015413835139156812,0.8312245202083608,0.02027342122248025,0.27375011061085386
dataset_1068.csv,1109,0.9368877968877968,0.008960946921696338,0.8909253974181158,0.0377036079322869,0.1092519345926121
dataset_4134.csv,3751,0.7701929078014185,0.01263864682598069,0.8503559091395905,0.011184003687715594,6.136010449100286
dataset_1510.csv,569,0.9735902255639097,0.018116358284287967,0.995266611695183,0.006481102986010836,0.09167287700111046
dataset_1489.csv,5404,0.9170989936331896,0.011212783955515428,0.9689236983593444,0.007442738464843102,0.11829358071554452
dataset_1494.csv,1055,0.8767205750224617,0.02507390415906187,0.9432495316967368,0.019437018482491297,0.11107157759834081
dataset_1497.csv,5456,0.9908344255133246,0.0029590550186090812,0.9998936904557599,0.00010434984626493818,0.1981725035002455
dataset_1501.csv,1593,0.9410141509433962,0.016820897722001755,0.9972354361119766,0.001760875614976827,0.5375429419102147
dataset_1480.csv,583,0.718760958503799,0.037710208494220805,0.7450984662157546,0.07312457111789832,0.08389021812472493
dataset_1485.csv,2600,0.8953846153846154,0.01718331377206822,0.9571065088757397,0.009458296235009739,2.2677471514674834
dataset_1486.csv,34465,0.9620484288995403,0.0012372148237728125,0.9926026541606191,0.0009973476152518536,26.147836393583567
dataset_1487.csv,2534,0.9479085618250288,0.005240661203192721,0.9296556439031308,0.01863827413873542,0.238545353198424
dataset_1468.csv,1080,0.9592592592592594,0.013224867460264526,0.9977623456790123,0.0015352320795580191,0.7085761298891157
dataset_1475.csv,6118,0.610657285281816,0.015067516893151304,0.8499802255822246,0.009670575904890844,0.3560366746969521
dataset_1462.csv,1372,1.0,0.0,1.0,0.0,0.09624918072950095
dataset_1464.csv,748,0.786108108108108,0.03546598215112614,0.7601909184726521,0.07244238910258645,0.10534277859842404
dataset_4534.csv,11055,0.9668936201549754,0.00626485525623035,0.9957299844872509,0.00140929775707267,0.3306223807274364
dataset_1461.csv,45211,0.9109066921568335,0.0025079052396626673,0.9366499780544281,0.0035181098107654896,4.034018669114448
dataset_4538.csv,9873,0.7275369274249452,0.011043176177136,0.9204065332702431,0.005252536579926338,0.3701382463099435
dataset_1478.csv,10299,0.993009236981894,0.0030015335457196334,0.9999067632505982,4.442036953875237e-05,5.783239559992216
dataset_40966.csv,1080,1.0,0.0,1.0,0.0,0.2189326832187362
dataset_40982.csv,1941,0.8423632038065026,0.019316959822108747,0.9775310073517629,0.002934389221774161,0.15696130010765047
dataset_40994.csv,540,0.9574074074074075,0.01446342532575306,0.9617959183673468,0.05279312568049969,0.11124727480346337
