Dataset,Samples,Features,NumClasses,TabPFN_Accuracy,TabPFN_MacroF1,TabPFN_Time,CatBoost_Accuracy,CatBoost_MacroF1,CatBoost_Time,RF_Accuracy,RF_MacroF1,RF_Time,SPORF_Accuracy,SPORF_MacroF1,SPORF_Time
dataset_3.csv,3196,36,2,0.9940556426332288,0.9940453271240397,16.98517404391896,0.9965595611285266,0.9965520004787329,26.356246792944148,0.9909277037617554,0.9909078247483025,21.28583008609712,0.9943681426332288,0.9943561751486175,20.298674043966457
dataset_6.csv,20000,16,26,,,,0.9675,0.9674192171035152,301.3142069290625,0.9682000000000001,0.9680813966766442,24.960128015023656,0.9720999999999999,0.9719925655370751,27.674287279951386
dataset_11.csv,625,4,3,0.9743983614951357,0.9472345782872098,7.3902788809500635,0.8960317460317458,0.681264918835463,5.872498349985108,0.8353046594982079,0.5998854604574811,17.912841301993467,0.8895545314900154,0.6226225742868892,17.158468203037046
dataset_12.csv,2000,216,10,0.9800000000000001,0.9799825642906516,40.575251792091876,0.9739999999999999,0.9740507716999641,105.28086717496626,0.968,0.967977752289422,19.64168956701178,0.9709999999999999,0.9710493111241387,30.995337695931084
dataset_14.csv,2000,76,10,0.8855000000000001,0.8840482229519011,9.87019581894856,0.8375,0.8368742891554742,37.83121682703495,0.8314999999999999,0.830046398436328,16.98783681995701,0.8280000000000001,0.8278686133099515,20.01706706394907
dataset_15.csv,699,9,2,0.9656521739130435,0.962189345690881,5.771986242965795,0.9670600414078674,0.963607250831289,2.4132245149230585,0.9670393374741202,0.9633138070094661,15.952930256025866,0.9699378881987579,0.9668417092003875,15.132745206006803
dataset_16.csv,2000,64,10,0.9804999999999999,0.9805095854081733,18.44871611194685,0.97,0.9699488096413642,87.63873753603548,0.9630000000000001,0.9629357002558484,16.88066473894287,0.9650000000000001,0.9650570779874897,18.47203181195073
dataset_18.csv,2000,6,10,0.758,0.7488771121701623,2.7138888479676098,0.7275,0.7245796664836818,12.073385779978707,0.7030000000000001,0.7016570311762031,19.66168971301522,0.7075000000000001,0.7062597967854937,18.047342841979116
dataset_22.csv,2000,47,10,0.8825,0.8806671901965245,16.981915210024454,0.778,0.7752259597930591,16.061682739993557,0.782,0.777958876454063,17.548935008002445,0.796,0.79281222418887,18.106665120925754
dataset_23.csv,1473,9,3,0.5566602316602317,0.5347137525344458,5.752543826936744,0.5627367163081449,0.5356933129894628,2.636070599895902,0.5200312557455414,0.49148713205503486,21.295429271063767,0.5193647729362015,0.48630914294277183,19.339276022044942
dataset_28.csv,5620,64,10,0.9870106761565836,0.98705801956417,21.60024932899978,0.9852313167259785,0.985249673958136,62.361593756009825,0.9848754448398577,0.9848930872234055,22.634113626903854,0.9845195729537366,0.9845481173952182,20.895040335017256
