Feature_Size,Accuracy,F1_Score,Inference_Time
50,0.74,0.7348021215830274,1.7979671955108643
100,0.82,0.818840579710145,1.4211277961730957
300,0.84,0.8368013055895553,3.917522430419922
500,0.81,0.8056265984654731,6.759071111679077
700,0.77,0.7613860358958398,14.633953332901001
1000,0.75,0.7442455242966752,23.72571063041687
1500,0.78,0.7767857142857143,32.49749493598938
1776,0.77,0.7660461804495982,40.42960166931152
